# from https://api.keyman.com/search/2.0/
# accessed 2026-03-23
ID	Name	Lang codes	Input Script ISO	Output Script ISO	Downloads	Total Downloads	Platform Support
keyman_basic_kbdbu	Bulgarian (Typewriter) Basic	bg	Cyrl	Cyrl	29	1045	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdbug	Buginese Basic	bug,mak,mdr	Latn	Latn	22	1125	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdbulg	Bulgarian Basic	bg	Cyrl	Cyrl	15	859	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdca	Canadian French Basic	fr	Latn	Latn	29	1135	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdcan	Canadian Multilingual Standard Basic	fr,fr	Latn	Latn	63	1780	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdcher	Cherokee Nation Basic	chr	Cher	Cher	39	912	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdcherp	Cherokee Nation Phonetic Basic	chr	Cher	Cher	42	1272	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdcr	Croatian/Slovenian Basic	sl,hr,bs	Latn	Latn	106	1516	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdcz	Czech Basic	cs	Latn	Latn	52	1165	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdcz1	Czech (QWERTY) Basic	cs	Latn	Latn	30	1472	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdcz2	Czech Programmers Basic	cs	Latn	Latn	26	947	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdda	Danish Basic	da	Latn	Latn	18	882	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbddiv1	Divehi Phonetic Basic	dv	Thaa	Thaa	14	873	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbddiv2	Divehi Typewriter Basic	dv	Thaa	Thaa	22	1126	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbddv	United States-Dvorak Basic	en	Latn	Latn	16	1380	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbddzo	Dzongkha Basic	dz	Tibt	Tibt	32	750	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdes	Spanish Variation Basic	es	Latn	Latn	73	933	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdest	Estonian Basic	et	Latn	Latn	17	1531	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdfa	Persian Basic	fa	Arab	Arab	29	1207	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdfar	Persian (Standard) Basic	fa	Arab	Arab	43	1501	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdfi	Finnish Basic	fi	Latn	Latn	18	1809	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdfi1	Finnish-Swedish with Sami Basic	se,fi,sv	Latn	Latn	83	1094	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdfo	Faeroese Basic	fo	Latn	Latn	16	941	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdfr	French Basic	fr	Latn	Latn	95	8608	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdfthrk	Futhark Basic	de,non	Latn	Latn	54	3044	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdgae	Gaelic Basic	gd	Latn	Latn	19	941	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdgeo	Georgian Basic	ka	Geor	Geor	21	1053	windows,macos,linux,desktopWeb,ios,android,mobileWeb
