#codeDisplay		dz.afrobaro.r6	bj.afrobaro.r6	bw.afrobaro.r6	bf.afrobaro.r6	bi.afrobaro.r6	cm.afrobaro.r6	cv.afrobaro.r6	ci.afrobaro.r6	eg.afrobaro.r6	ga.afrobaro.r6	gh.afrobaro.r6	gn.afrobaro.r6	ke.afrobaro.r6	ls.afrobaro.r6	lr.afrobaro.r6	mg.afrobaro.r6	mw.afrobaro.r6	ml.afrobaro.r6	mu.afrobaro.r6	ma.afrobaro.r6	mz.afrobaro.r6	na.afrobaro.r6	ne.afrobaro.r6	ng.afrobaro.r6	st.afrobaro.r6	sn.afrobaro.r6	sl.afrobaro.r6	za.afrobaro.r6	sd.afrobaro.r6	sz.afrobaro.r6	tz.afrobaro.r6	tg.afrobaro.r6	tn.afrobaro.r6	ug.afrobaro.r6	zm.afrobaro.r6	zw.afrobaro.r6
#nameDisplay		Algeria Afrobarometer Round 6 (2014/2015)	Benin Afrobarometer Round 6 (2014/2015)	Botswana Afrobarometer Round 6 (2014/2015)	Burkina Faso Afrobarometer Round 6 (2014/2015)	Burundi Afrobarometer Round 6 (2014/2015)	Cameroon Afrobarometer Round 6 (2014/2015)	Cape Verde Afrobarometer Round 6 (2014/2015)	Côte d´Ivoire Afrobarometer Round 6 (2014/2015)	Egypt Afrobarometer Round 6 (2014/2015)	Gabon Afrobarometer Round 6 (2014/2015)	Ghana Afrobarometer Round 6 (2014/2015)	Guinea Afrobarometer Round 6 (2014/2015)	Kenya Afrobarometer Round 6 (2014/2015)	Lesotho Afrobarometer Round 6 (2014/2015)	Liberia Afrobarometer Round 6 (2014/2015)	Madagascar Afrobarometer Round 6 (2014/2015)	Malawi Afrobarometer Round 6 (2014/2015)	Mali Afrobarometer Round 6 (2014/2015)	Mauritius Afrobarometer Round 6 (2014/2015)	Morocco Afrobarometer Round 6 (2014/2015)	Mozambique Afrobarometer Round 6 (2014/2015)	Namibia Afrobarometer Round 6 (2014/2015)	Niger Afrobarometer Round 6 (2014/2015)	Nigeria Afrobarometer Round 6 (2014/2015)	Sao Tome and Principe Afrobarometer Round 6 (2014/2015)	Senegal Afrobarometer Round 6 (2014/2015)	Sierra Leone Afrobarometer Round 6 (2014/2015)	South Africa Afrobarometer Round 6 (2014/2015)	Sudan Afrobarometer Round 6 (2014/2015)	Swaziland Afrobarometer Round 6 (2014/2015)	Tanzania Afrobarometer Round 6 (2014/2015)	Togo Afrobarometer Round 6 (2014/2015)	Tunisia Afrobarometer Round 6 (2014/2015)	Uganda Afrobarometer Round 6 (2014/2015)	Zambia Afrobarometer Round 6 (2014/2015)	Zimbabwe Afrobarometer Round 6 (2014/2015)
#isoRegionCode		DZ	BJ	BW	BF	BI	CM	CV	CI	EG	GA	GH	GN	KE	LS	LR	MG	MW	ML	MU	MA	MZ	NA	NE	NG	ST	SN	SL	ZA	SD	SZ	TZ	TG	TN	UG	ZM	ZW
#yearCollected	2015																																				
#mode	Speaks																																				
#domain	Home																																				
#populationEligible		39146000	10772000	2282000	18443000	10668000	22662000	549000	23292000	96675000	1999000	28532000	11475000	46346000	2106000	4563000	24531000	16707000	17828000	1293000	34468000	26435000	2263000	19740000	181703000	199000	14162000	7228000	55220000	37586000	1130000	51608000	7380000	11493000	36894000	15991000	14006000
#populationSource	https://web.archive.org/web/20231205201116/https://population.un.org/wpp/Download/Standard/MostUsed/																																				
#populationSurveyed		1,200	1,200	1,200	1,200	1,201	1,184	1,200	1,199	1,192	1,198	2,400	1,200	2,397	1,200	1,199	1,201	2,400	1,200	1,200	1,200	2,400	1,200	1,200	2,400	1,196	1,200	1,191	2,388	1,200	1,200	2,386	1,200	1,200	2,400	1,199	2,400
#nationality	citizens																																				
#quantity	percent																																				
#responsesPerIndividual	1																																				
#collectorType	NGO																																				
#collectorName	Afrobarometer																																				
#url	https://www.afrobarometer.org/online-data-analysis/																																				
#dateAccessed	2026-03-05																																				
#documentName	Afrobarometer (R6 2014/2015)																																				
#tableName	What is the primary language you speak in your home?																																				
#notes	From a compliation of other reports, years 2014 and 2015																																				
Language Code	Language Name	Algeria	Benin	Botswana	Burkina Faso	Burundi	Cameroon	Cape Verde	Côte d´Ivoire	Egypt	Gabon	Ghana	Guinea	Kenya	Lesotho	Liberia	Madagascar	Malawi	Mali	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Sao Tome and Principe	Senegal	Sierra Leone	South Africa	Sudan	Swaziland	Tanzania	Togo	Tunisia	Uganda	Zambia	Zimbabwe
hau	Hausa																								25.10%												
ibo	Igbo																								17.10%												
yor	Yoruba																								22.30%												
pcm	Pidgin English																								0.20%												
efi	Efik																								1.90%												
igb	Ebira																								0.80%												
ful/fuv	Fulani																								1.20%												
iso	Isoko																								0.70%												
ibb	Ibibio																								3.00%												
kau	Kanuri																								0.30%												
tiv	Tiv																								1.70%												
nup	Nupe																								1.70%												
ijo	Ijaw																								2.70%												
bin	Edo																								2.30%												
igl	Igala																								1.40%												
urh	Urhobo																								1.40%												
ogon1240	Ogoni																								0.30%												
anw	Anang																								0.30%												
ikw	Ikwere																								0.70%												
idu	Idoma																								2.00%												
ish	Esan																								0.40%												
ijs/nemb1238	Nembe																								0.10%												
ala	Alago																								0.30%												
deg	Degema																								0.50%												
ego	Eggon																								0.80%												
juku1259/juk	Jukun																								0.60%												
kdm	Kagoma																								0.50%												
lan	Laru																								0.30%												
ijn	Kalabari																								0.50%												
sur	Nwangavul																								0.70%												
tan	Tangale																								0.60%												
yer	Tarok																								0.70%												
wja	Waja																								0.40%												
yba	Yala																								0.20%												
wol	Wolof																										62.60%										
ful/fuc	Pulaar/Toucouleur																										19.90%										
srr	Serer																										5.80%										
man/bam	Mandinka/Bambara																										4.30%										
snk	Soninke																										1.10%										
man/dyu	Diola																										3.50%										
mfv	Manjack																										0.80%										
bsc	Bassari																										>0.00%										
kri	Krio																											10.80%									
men	Mende																											31.30%									
tem	Temne																											28.50%									
limb1267	Limba																											6.40%									
lok	Loko																											1.70%									
bun	Sherbro																											1.20%									
ful/fuf	Fulla																											4.00%									
kno	Kono																											5.60%									
knk	Kuranko																											2.30%									
man	Madingo																											1.10%									
sus	Susu																											4.70%									
yal	Yalunka																											0.50%									
kss	Kissi																											1.30%									
afr	Afrikaans																												13.70%								
nde	Ndebele																												1.10%								
xho	Xhosa																												14.20%								
nso	Pedi/Spedi/North Sotho																												10.30%								
sot	Sesotho/Sotho/South Sotho																												5.50%								
tsn	Setswana/Tswana																												9.90%								
ssw	Swazi																												3.00%								
ven	Venda																												2.30%								
zul	Zulu																												23.50%								
mul	Asian/Indian																												0.30%								
tso	Shangaan/Tsonga																												4.90%								
ara/apd	Sudanese Arabic																													98.70%							
nub	Nubian language																													0.30%							
nyy/nkon1246	Kinyakyusa																															2.10%					
chag1250	Kichaga																															4.70%					
hay	Kihaya																															2.50%					
xnj	Kingoni																															1.90%					
cwe	Kikwere																															0.70%					
asa	Kipare																															1.80%					
heh	Kihehe																															2.10%					
kde	Kimakonde																															2.30%					
nym	Kinyamwezi																															2.50%					
suk	Kisukuma																															18.00%					
mas	Kimasai																															1.00%					
mer	Kimeru																															0.70%					
kuj	Kikurya																															0.80%					
gog	Kigogo																															3.10%					
ruf	Kiluguru																															2.60%					
fip	Kifipa																															2.50%					
mis	Kimanyema																															0.50%					
nim	Kinyiramba																															0.70%					
rim	Kinyaturu																															0.60%					
bez	Kibena																															0.70%					
haq	Kiha																															1.70%					
han	Kihangaza																															5.50%					
irk	Kiiraqi																															1.90%					
luo	Kijaluo																															0.60%					
jit	Kijita																															1.60%					
zga	Kikinga																															0.90%					
tny	Kitongwe																															1.50%					
mwe	Kimwera																															0.50%					
ndh	Kindali																															0.60%					
dne	Kindendeule																															1.50%					
now	Kinyambo																															1.30%					
poy	Kipogoro																															1.10%					
ksb	Kisambaa																															1.20%					
yao	Kiyao																															0.70%					
zaj	Kizaramo																															1.20%					
ziw	Kizigua																															0.70%					
zin	Kizinza																															0.60%					
doe	Kidoe																															1.80%					
mas	Kiarusha																															0.70%					
suw	Kisumbwa																															1.60%					
ewe	Ewé																																35.20%				
gej	Mina (Guen)																																7.90%				
kbp	Kabyè																																12.90%				
kdh	Tem (Kotokoli)																																6.00%				
mfq	Ben (Moba)																																5.80%				
nmz	Nawdem (Losso)																																2.90%				
las	Lamba																																2.90%				
ife	Ana																																3.80%				
kpo	Akposso																																2.10%				
bud	Bassar																																1.20%				
ajg	Adja																																2.80%				
fon	Fon																																1.70%				
wci	Ouatchi																																4.00%				
keu	Akébou																																1.00%				
gux	Gourma																																0.50%				
xon	Konkomba																																0.10%				
gng	Ngam-Gam																																0.30%				
bud	Tchamba																																3.20%				
keu	Aklobo																																0.70%				
cko	Tchokossi (Anoufom)																																0.40%				
ful/fue	Peulh																																1.40%				
nde	SiNdebele																																				11.10%
sna	Shona																																				48.40%
sna/zezu1238	Zezuru																																				7.60%
sna/kore1281	Korekore																																				4.00%
sna/kara1480	Karanga																																				9.90%
mxc	Manyika																																				7.10%
ndc	Ndau																																				3.40%
ven	Venda																																				0.50%
kck	Kalanga																																				1.30%
toi	Tonga																																				1.90%
tso	Shangani																																				1.30%
sna	Buja																																				0.60%
sot	Suthu																																				0.70%
mfe	Creole																			97.70%																	
ssw	siSwati																														97.40%						
tso	Shangaan																														0.30%						
lug	Luganda																																		20.80%		
nyn	Runyankole																																		12.30%		
nyo	Runyoro																																		4.30%		
xog	Lusoga																																		9.10%		
myx	Lumasaba																																		5.30%		
koo	Lukhonjo																																		2.00%		
nyo	Lunyoro																																		0.80%		
teo	Ateso																																		8.30%		
ach	Acholi																																		3.90%		
alz	Alur																																		2.30%		
lgg	Lugbara																																		4.80%		
mhi	Madi																																		0.80%		
adh	Japadhola																																		1.10%		
luy/lsm	Lusamia																																		0.80%		
gwr	Lugwere																																		1.00%		
cgg	Rukiga																																		5.30%		
