#codeDisplay		us2023	us2023eng	us2023no.eng	#us2023eng.verywell	#us2023eng.well	#us2023eng.notwell	#us2023eng.notatall
#nameDisplay		US 2023	US 2023 also Speaks English	US 2023 does not speak English	US 2023 speaks English Very well	US 2023 speaks English Well	US 2023 speaks English Not well	US 2023 speaks English Not at all
#isoRegionCode	US							
#yearCollected	2023							
#url	https://data.census.gov/app/mdat/ACSPUMS1Y2023/table?cv=ENG&rv=LANP&wt=PWGTP							
#tableName	Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2023)							
#columnName		Language spoken at home	Language spoken at home x Ability to speak English Very well + Well	Language spoken at home x Ability to speak English Not well + Not at all	Very well	Well	Not well	Not at all
#collectorName	United States Census Bureau							
#collectorType	Government							
#dateAccessed	2025-08-11							
#age	0+							
#gender	Any							
#modality	Spoken							
#proficiency			English: Very well or Well	English: Not well or not at all	Very well	Well	Not well	Not at all
#acquisitionOrder	Any							
#domain	Home							
#eligiblePopulation	334,914,896							
#responsesPerIndividual	1							
#notes	American Community Survey							
Language Code	Language spoken at home	US 2023	US 2023 also Speaks English	US 2023 does not speak English	Very well	Well	Not well	Not at all
mkd	Macedonian	24,947	21,278	3,669	15,188	6,090	3,217	452
slk	Slovak	24,122	23,335	787	19,064	4,271	787	0
mon	Mongolian	24,059	20,607	3,452	12,774	7,833	2,997	455
ale	Aleut languages	24,018	23,603	415	20,919	2,684	415	0
mah	Marshallese	23,980	19,475	4,505	13,472	6,003	3,421	1,084
lug	Ganda	23,792	23,079	713	19,864	3,215	315	398
orm	Oromo	23,519	22,539	980	17,595	4,944	980	0
mul	India N.E.C.	23,493	21,353	2,140	15,399	5,954	1,997	143
ful	Fulah	20,928	16,640	4,288	11,641	4,999	2,340	1,948
chk	Chuukese	19,977	18,062	1,915	11,611	6,451	1,635	280
kur	Kurdish	19,913	17,511	2,402	12,280	5,231	1,681	721
gle	Irish	19,783	18,741	1,042	16,654	2,087	591	451
ssa	Nilo-Saharan languages	19,339	17,553	1,786	13,177	4,376	1,293	493
gbee1241	Gbe languages	19,114	17,345	1,769	13,480	3,865	1,284	485
bod	Tibetan	18,570	14,434	4,136	8,734	5,700	1,490	2,646
mul	Other Philippine languages	18,094	16,485	1,609	11,601	4,884	1,306	303
oji	Ojibwa	17,816	17,047	769	15,038	2,009	723	46
msa/zlm	Malay	17,685	17,129	556	13,891	3,238	556	0
gsw	Swiss German	17,645	17,040	605	14,392	2,648	329	276
ium	Iu Mien	17,139	14,004	3,135	10,149	3,855	2,525	610
dako1257	Dakota languages	16,486	15,709	777	13,162	2,547	777	0
gaa	Ga	16,199	16,199	0	13,908	2,291	0	0
azc	Uto-Aztecan languages	15,507	14,408	1,099	13,289	1,119	1,001	98
mul	Other Mande languages	15,416	14,868	548	10,892	3,976	548	0
apa	Apache languages	15,104	14,433	671	12,060	2,373	671	0
fin	Finnish	14,770	14,296	474	13,139	1,157	474	0
edoi1239	Edoid languages	14,737	14,110	627	11,634	2,476	563	64
hbs	Serbocroatian	14,251	11,274	2,977	8,475	2,799	1,831	1,146
frc	Cajun French	13,020	12,731	289	11,624	1,107	289	0
lav	Latvian	12,845	11,974	871	10,203	1,771	815	56
sna	Shona	12,493	12,196	297	11,041	1,155	297	0
kok	Konkani	11,850	11,310	540	10,112	1,198	540	0
musk1252	Muskogean languages	10,054	10,042	12	9,174	868	12	0
chr	Cherokee	7,637	7,393	244	7,157	236	244	0
