Title	Local Title (formatted)	Status	Language	Script (ISO 15924 code)	WP code	Locale Code(s)	Articles	Active Users	URL
Wikipedia Shipibo	Shipibo	Incubator			shp	shp			incubator.wikimedia.org/wiki/Wp/shp
Wikipedia Shawiya	tacawit	Incubator			shy	shy			incubator.wikimedia.org/wiki/Wp/shy
Wikipedia Sikkimese	འབྲས་ལྗོངས་སྐད་	Incubator			sip	sip			incubator.wikimedia.org/wiki/Wp/sip
Wikipedia Kildin Sami	Кӣллт са̄мь кӣлл	Incubator			sjd	sjd			incubator.wikimedia.org/wiki/Wp/sjd
Wikipedia Xibe	ᠰᡳᠪᡝ ᡤᡳᠰᡠᠨ	Incubator			sjo	sjo			incubator.wikimedia.org/wiki/Wp/sjo
Wikipedia Ume Sami	ubmejesámiengiälla	Incubator			sju	sju			incubator.wikimedia.org/wiki/Wp/sju
Wikipedia Lower Silesian	Schläsch	Incubator			sli	sli			incubator.wikimedia.org/wiki/Wp/sli
Wikipedia Salar	Salırça	Incubator			slr	slr			incubator.wikimedia.org/wiki/Wp/slr
Wikipedia Selayar	Basa Silajara	Incubator			sly	sly			incubator.wikimedia.org/wiki/Wp/sly
Wikipedia Southern Sami	Åarjelsaemien	Incubator			sma	sma			incubator.wikimedia.org/wiki/Wp/sma
Wikipedia Skolt Sami	sääʹmǩiõll	Incubator			sms	sms			incubator.wikimedia.org/wiki/Wp/sms
Wikipedia Sumbawa	basa Semawa	Incubator			smw	smw			incubator.wikimedia.org/wiki/Wp/smw
Wikipedia Jagoi	sne	Incubator			sne	sne			incubator.wikimedia.org/wiki/Wp/sne
Wikipedia Soninke	Sooninkanxanne	Incubator			snk	snk			incubator.wikimedia.org/wiki/Wp/snk
Wikipedia Soqotri	ماتڸ دسقطري	Incubator			sqt	sqt			incubator.wikimedia.org/wiki/Wp/sqt
Wikipedia Sarikoli	سەرىقۇلى زىڤ	Incubator			srh	srh			incubator.wikimedia.org/wiki/Wp/srh
Wikipedia Thao	Thaw a lalawa	Incubator			ssf	ssf			incubator.wikimedia.org/wiki/Wp/ssf
Wikipedia Stellingwerfs	Stellingwarfs	Incubator			stl	stl			incubator.wikimedia.org/wiki/Wp/stl
Wikipedia Siberian Tatar	Сибертатарца	Incubator			sty	sty			incubator.wikimedia.org/wiki/Wp/sty
Wikipedia Susu	Sosoxui	Incubator			sus	sus			incubator.wikimedia.org/wiki/Wp/sus
Wikipedia Sunwar	सुनुवार	Incubator			suz	suz			incubator.wikimedia.org/wiki/Wp/suz
Wikipedia Sangir	Sangihẹ̆	Incubator			sxn	sxn			incubator.wikimedia.org/wiki/Wp/sxn
Wikipedia Hla’alua	Hla’alua	Incubator			sxr	sxr			incubator.wikimedia.org/wiki/Wp/sxr
Wikipedia Sylheti	ꠍꠤꠟꠐꠤ	Incubator			syl	syl	1,230	14	incubator.wikimedia.org/wiki/Wp/syl
Wikipedia Eastern Tamang	तामाङ	Incubator			taj	taj			incubator.wikimedia.org/wiki/Wp/taj
Wikipedia Yami	Cizicizing No Tao	Incubator			tao	tao			incubator.wikimedia.org/wiki/Wp/tao
Wikipedia Tai Nüa	ᥖᥭᥰ ᥖᥬᥲ ᥑᥨᥒᥰ	Incubator			tdd	tdd	449	9	incubator.wikimedia.org/wiki/Wp/tdd
Wikipedia Western Tamang	तामाङ	Incubator			tdg	tdg			incubator.wikimedia.org/wiki/Wp/tdg
Wikipedia Rana Tharu	राना थारू‎	Incubator			thr	thr			incubator.wikimedia.org/wiki/Wp/thr
Wikipedia Tigre	ትግሬ	Incubator			tig	tig	62	11	incubator.wikimedia.org/wiki/Wp/tig
Wikipedia Tiv	Tiv	Incubator			tiv	tiv			incubator.wikimedia.org/wiki/Wp/tiv
Wikipedia Tokelauan	Tokelau	Incubator			tkl	tkl			incubator.wikimedia.org/wiki/Wp/tkl
Wikipedia Tokunoshima	シマユミィタ	Incubator			tkn	tkn			incubator.wikimedia.org/wiki/Wp/tkn
Wikipedia Tlingit	Lingít	Incubator			tli	tli			incubator.wikimedia.org/wiki/Wp/tli
Wikipedia Jewish Babylonian Aramaic	ארמית	Incubator			tmr	tmr			incubator.wikimedia.org/wiki/Wp/tmr
Wikipedia Tonga	ChiTonga	Incubator			tog	tog			incubator.wikimedia.org/wiki/Wp/tog
Wikipedia Kokborok	Kokborok (Tripuri)	Incubator			trp	trp			incubator.wikimedia.org/wiki/Wp/trp
Wikipedia Torwali	توروالی	Incubator			trw	trw			incubator.wikimedia.org/wiki/Wp/trw
Wikipedia Tausug	Bahasa Sūg	Incubator			tsg	tsg			incubator.wikimedia.org/wiki/Wp/tsg
Wikipedia Tsou	Tsou	Incubator			tsu	tsu			incubator.wikimedia.org/wiki/Wp/tsu
Wikipedia Isan	ภาษาอีสาน	Incubator			tts	tts			incubator.wikimedia.org/wiki/Wp/tts
Wikipedia Muslim Tat	zuhun tati	Incubator			ttt	ttt			incubator.wikimedia.org/wiki/Wp/ttt
Wikipedia Tunica	Luhchi Yoroni	Incubator			tun	tun			incubator.wikimedia.org/wiki/Wp/tun
Wikipedia Tucano	Yepamahsã	Incubator			tuo	tuo			incubator.wikimedia.org/wiki/Wp/tuo
Wikipedia Tuvaluan	Ngangana Tuvalu	Incubator			tvl	tvl			incubator.wikimedia.org/wiki/Wp/tvl
Wikipedia Taivoan	Taivoan	Incubator			tvx	tvx			incubator.wikimedia.org/wiki/Wp/tvx
Wikipedia West Tarangan	Rau Jarjar	Incubator			txn	txn			incubator.wikimedia.org/wiki/Wp/txn
Wikipedia Tày	Tiểng Tày	Incubator			tyz	tyz			incubator.wikimedia.org/wiki/Wp/tyz
Wikipedia Central Atlas Tamazight	ⵜⴰⵎⴰⵣⵉⵖⵜ (ⴰⵟⵍⴰⵙ ⴰⵏⴰⵎⵎⴰⵙ) / Tmaziɣt	Incubator			tzm	tzm			incubator.wikimedia.org/wiki/Wp/tzm
Wikipedia Udege	Удиэ кэйэни	Incubator			ude	ude			incubator.wikimedia.org/wiki/Wp/ude
Wikipedia Unserdeutsch	uln	Incubator			uln	uln			incubator.wikimedia.org/wiki/Wp/uln
Wikipedia Vai	ꕙꔤ	Incubator			vai	vai			incubator.wikimedia.org/wiki/Wp/vai
Wikipedia East Franconian German	Oschdfrängisch	Incubator			vmf	vmf			incubator.wikimedia.org/wiki/Wp/vmf
Wikipedia Makhuwa	Emakuana	Incubator			vmw	vmw			incubator.wikimedia.org/wiki/Wp/vmw
Wikipedia Wolaitta	Wolayttatto Doonaa	Incubator			wal	wal			incubator.wikimedia.org/wiki/Wp/wal
Wikipedia Warao	Warao	Incubator			wba	wba			incubator.wikimedia.org/wiki/Wp/wba
Wikipedia Wakhi	زبان واخانی / X̌ikwor zik / х̆икв̆ор зик	Incubator			wbl	wbl			incubator.wikimedia.org/wiki/Wp/wbl
Wikipedia Westphalian	Westfalish	Incubator			wep	wep			incubator.wikimedia.org/wiki/Wp/wep
Wikipedia Fakauvea	Faka'uwea	Incubator			wls	wls			incubator.wikimedia.org/wiki/Wp/wls
Wikipedia Waale	Waale	Incubator			wlx	wlx			incubator.wikimedia.org/wiki/Wp/wlx
Wikipedia Adilabad Gondi	గోండి	Incubator			wsg	wsg			incubator.wikimedia.org/wiki/Wp/wsg
Wikipedia Waxiang	Waxianghua / 瓦鄉話	Incubator			wxa	wxa			incubator.wikimedia.org/wiki/Wp/wxa
Wikipedia Wymysorys	Wymysöryś	Incubator			wym	wym			incubator.wikimedia.org/wiki/Wp/wym
Wikipedia Kgalagadi	Kalahari	Incubator			xkv	xkv			incubator.wikimedia.org/wiki/Wp/xkv
Wikipedia Manado Malay	Manado	Incubator			xmm	xmm			incubator.wikimedia.org/wiki/Wp/xmm
Wikipedia Kanakanavu	Kanakanavu				xnb	xnb			incubator.wikimedia.org/wiki/Wp/xnb
Wikipedia Likpakpaanl	Likpakpaanl				xon	xon			incubator.wikimedia.org/wiki/Wp/xon
Wikipedia Mohegan-Pequot	Mohiks				xpq	xpq			incubator.wikimedia.org/wiki/Wp/xpq
Wikipedia Saisiyat	SaiSiyat				xsy	xsy			incubator.wikimedia.org/wiki/Wp/xsy
Wikipedia Yazghulami	зѓамиѓай				yah	yah			incubator.wikimedia.org/wiki/Wp/yah
Wikipedia Yaghnobi	яғнобӣ зивок				yai	yai			incubator.wikimedia.org/wiki/Wp/yai
Wikipedia Yonaguni	与那国物言/ドゥナンムヌイ				yoi	yoi			incubator.wikimedia.org/wiki/Wp/yoi
Wikipedia Nenets	ненэцяʼ вада				yrk	yrk			incubator.wikimedia.org/wiki/Wp/yrk
Wikipedia Nheengatu	Nheengatu				yrl	yrl			incubator.wikimedia.org/wiki/Wp/yrl
Wikipedia Yucatec Maya	Maaya t'aan				yua	yua			incubator.wikimedia.org/wiki/Wp/yua
Wikipedia Isthmus Zapotec	diidxazá				zai	zai			incubator.wikimedia.org/wiki/Wp/zai
Wikipedia Zenaga	Tuẓẓungiyya				zen	zen			incubator.wikimedia.org/wiki/Wp/zen
Wikipedia Negeri Sembilan Malay	Bahasa Melayu Negeri Sembilan				zmi	zmi			incubator.wikimedia.org/wiki/Wp/zmi
