#codeDisplay		#lang:ru	ru2020speaks	ru2020uses	ru2020native
#nameDisplay			Russia 2020 Speaks	Russia 2020 Uses	Russia 2020 Native Language
#isoRegionCode	RU				
#yearCollected	2020				
#mode			Speaks	Uses	
#acquisitionOrder			Any	Any	L1
#populationEligible	147,182,123				
#populationWithPositiveResponses			135,125,671	134,623,178	130,543,591
#collectorType	Government				
#collectorName	Federal State Statistics Service	Федеральная служба государственной статистики			
#collectorNameShort	Rosstat	Росстат			
#url	https://web.archive.org/web/20230213225905/http://rosstat.gov.ru/vpn_popul				
#dateAccessed	2023-02-13				
#documentName	Volume 5. National composition and language proficiency	Том 5. Национальный состав и владение языками 			
#tableName			Таблица 5. Владение языками населением наиболее многочисленных национальностей Table 5. Language proficiency by the population of the most numerous nationalities	Table 4. Language proficiency and use of languages ​​by the population	Таблица 6. Население по родному языку Table 6. Population by native language
#columnName			Все население The entire population	of them use it in everyday life	Городское и сельское население: Urban and Rural population
Language Code	Language		Russia 2020 Spoken	Russia 2020 Uses	Russia 2020 Native Language
neg	Negidal	Негидальский	22	14	29
deu	German	Немецкий	1063037	218,166	25,514
yrk	Nenets	Ненецкий	24487	22,714	38,405
nep	Nepali	Непали	64	28	
nia	Nias	Ниасский	7	7	
niv	Nivkh	Нивхский	708	263	1,277
mul	Nigerian	Нигерийский	39	20	
nld	Dutch	Нидерландский	1246	481	109
nog	Nogai	Ногайский	85640	78,173	104,258
nog/kara1509	Nogai-Karagash	Ногайско-карагашский	146	100	159
nor	Norwegian	Норвежский	2063	567	67
nya	Nyanja	Ньянджа	9	6	
orm	Oromo	Оромо	3	1	
oac	Orochi	Орочский	43	28	119
oss	Ossetian	Осетинский	344907	332,068	456,564
ota	Ottoman	Османский	6	3	
mul	Pakistani	Пакистанский	106	66	
sgh	Pamir	Памирский	432	292	
lah/pan	Punjabi	Панджаби	45	23	
fas	Persian	Персидский	6011	2,685	3,399
#poz	Polynesian	Полинезийский	5	4	
qwm	Polovtsian	Половецкий	8	6	
pol	Polish	Польский	22557	5,592	3,224
por	Portuguese	Португальский	5197	1,756	804
#bat	Baltic	Прибалтийский	16	8	
sgn	Other sign languages	Прочие жестовые языки	33	18	
pus	Pashto	Пушту	2328	1,417	2,212
raj	Rajasthani	Раджастхани	3	3	
roh	Rhaeto-Romance	Ретороманский	3	2	
#roa	Romance	Романский	2	1	
kin	Kinyarwanda	Руанда	42	31	
ron	Romanian	Румынский	7901	2,587	4,108
rue	Rusyn	Русинский	227	127	826
rus	Russian	Русский	134319233	132,317,159	111,546,569
sgn/rsl	Russian Sign Language deaf	Русский жестовый язык глухих	239930	157354	1,403
rut	Rutul	Рутульский	13591	12,366	33,104
sgh/rush1239	Rushan	Рушанский	23	13	
sme	Sami	Саамский	259	168	341
slr	Salar	Саларский	1	1	
smo	Samoan	Самоанский	3	2	
sag	Sango	Санго	11	11	
san	Sanskrit	Санскрит	147	68	
sva	Svan	Сванский	32	15	
ssw	Swati	Свати	26	20	
sel	Selkup	Селькупский	975	770	1,589
wol	Senegalese	Сенегальский	13	10	
hbs/srp	Serbo-Croatian	Сербскохорватский	5708	2,399	1,896
sot	Sesotho	Сесото	3	1	
tsn	Setswana	Сетсвана	9	5	
lad	Sephardic	Сефардский	3	3	
sin	Sinhalese	Сингальский	162	110	
mul	Singaporean	Сингапурский	4	3	
snd	Sindhi	Синдхи	1	0	
ysr	Sirenik	Сиреникский	2	1	
mul	Scandinavian	Скандинавский	15	6	
slk	Slovak	Словацкий	652	208	108
slv	Slovenian	Словенский	443	216	331
art/art-slovio	Slovio	Словио	1	0	
mul	Mixed	Смешанный	658	318	
mul	Soviet	Советский	17	16	
som	Somali	Сомали	40	30	
mul	Central Asian	Среднеазиатский	13	5	
chu	Old Church Slavonic	Старославянский	1352	659	71
mul	CIS countries	Стран СНГ	13	4	
swa	Swahili	Суахили	499	269	265
sus	Susu	Сусу	8	6	
kri	Sierra Leonean	Сьерра-леонский	1	0	
tab	Tabasaran	Табасаранский	87214	82,069	143,578
tgl	Tagalog	Тагальский	89	54	
tgk	Tajik	Таджикский	216450	171,720	302,622
tha	Thai	Тайский	594	230	159
mul_Brai	Tactile letter	Тактильное письмо	108	68	
tly	Talysh	Талышский	2888	2,048	2,644
tam	Tamil	Тамильский	128	87	154
tat	Tatar	Татарский	3261155	2,917,685	4,073,253
ttt	Tat	Татский	3215	2,950	720
alt/tele1257	Teleut	Телеутский	1246	1,113	1,570
tel	Telugu	Телугу	37	25	
tat/tept1239	Teptyar	Тептярский	44	39	
bod	Tibetan	Тибетский	232	91	34
tig	Tigre	Тигре	1	1	
tir	Tigrinya	Тигринья	3	2	
tin	Tindi	Тиндальский	4730	4,677	4,457
ewe	Togolese	Тоголезский	5	1	
tok	Toki Pona	Токипона	6	2	
tpi	Tok Pisin	Токписин	10	5	
kim	Tofalar / Karagas	Тофаларский	8	1	67
atv/tuba1280	Tubalar	Тубаларский	527	344	930
tyv	Tuvan	Тувинский	252953	247,875	294,020
tur	Turkish	Турецкий	132147	96,272	115,838
tuk	Turkmen	Туркменский	27037	20,967	35,584
tou	Tho	Тхо	1	0	
#trk	Turks	Тюрки	14	7	
#trk	Turkic	Тюркский	1513	759	946
udi	Udin	Удинский	1320	1,002	1,860
udm	Udmurt	Удмуртский	255877	222,786	271,882
ude	Udege	Удэгейский	193	138	674
uzb	Uzbek	Узбекский	228962	156,146	269,303
uig	Uyghur	Уйгурский	468	251	727
oaa	Uilta / Orok	Уйльта	89	74	116
ukr	Ukrainian	Украинский	627106	208,854	294,952
ulc	Ulch	Ульчский	506	320	835
urd	Urdu	Урду	321	156	154
fat	Fanti	Фанти	4	1	
fao	Faroese	Фарерский	4	1	
#fiu	Finno-Ugric	Финно-угорский	48	28	
fin	Finnish	Финский	14075	4,675	1,050
fon	Fon	Фон	2	2	
fra	French	Французский	235199	47,348	3,591
fry	Frisian	Фризский	3	1	
ful	Fulah	Фула	9	3	
kjh	Khakas	Хакасский	29010	24,971	46,726
hni	Hani	Хани	1	0	
kca	Khanty	Хантыйский	9230	7,659	13,900
hau	Hausa	Хауса	25	13	
khv	Khvarshi	Хваршинский	2216	2,195	3,296
hit	Hittite	Хеттский	2	1	
kjj	Khinalugh	Хиналугский	8	4	
hin	Hindi	Хинди	5298	3,784	5,325
tkr	Tsahkur	Цахурский	6340	5,929	11,412
ddo	Tsez / Dido	Цезский	14249	13740	17,574
rom	Chamalin / Gypsy	Цыганский	108425	95,412	141,785
cji	Chamalal	Чамалинский	4926	4,417	5,171
