ISO_639_3	Script	Base_Characters
arl	Latin	AEHIJKMNOPRSTUWYƗaehijkmnoprstuwyɨ
arn	Latin	ABCDEFGIJKLMNOPQRSTUWXYZÜÑabcdefgijklmnopqrstuwxyzüñ
arq	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
arr	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyzÃÉÍÓÕÚÛáâãéíóõúûĨĩʼẼẽꞋꞌṌṍẤấ
ars	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباپڤة
ary	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
arz	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباڤپیچةى
asa	Latin	ABCDEFGHIJKLMNOPRSTUVWYZabcdefghijklmnoprstuvwyz
asm	Bengali	৺অআইঈউঊঋৠঌৡএঐওঔকখগঘঙচছজঝঞটঠডঢণতথদধনপফবভমযৰলৱশষসহʼ
ast	Latin	ABCDEFGHILMNOPQRSTUVXYZÁÉÍÑÓÚÜḤḶabcdefghilmnopqrstuvxyzáéíñóúüḥḷ
atv	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁЈҤӦӰабвгдежзийклмнопрстуфхцчшщъыьэюяёјҥӧӱ
auc	Latin	ABDEGIKMNOPRSTWYÃẼĨÕÑabdegikmnoprstwyãẽĩõñ
aud	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÁÉÍÑÓÚÜabcdefghijklmnopqrstuvwxyzáéíñóúü
ava	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁӀабвгдежзийклмнопрстуфхцчшщъыьэюяёӏ
ave	Avestan	𐬀𐬁𐬅𐬃𐬆𐬇𐬄𐬂𐬠𐬡𐬗𐬛𐬜𐬈𐬉𐬟𐬔𐬕𐬖𐬵𐬩𐬌𐬍𐬘𐬐𐬮𐬨𐬥𐬢𐬤𐬣𐬧𐬦𐬊𐬋𐬞𐬭𐬯𐬱𐬳𐬴𐬙𐬚𐬝𐬎𐬏𐬬𐬑𐬓𐬒𐬫𐬪𐬰𐬲
avl	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباڤپچ
avn	Latin	ABDEFGHIKLMNOPRSTUVWXYZabdefghiklmnoprstuvwxyzŊŋƆƉƐƑƒƲɔɖɛʋ
awa	Devanagari	अआइईउऊऋएऐओऔकखगघङचछजझञटठडढणतथदधनपफबभमयरलवशषसहऄ‌‍ऽ
awe	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyzÁÃÕáãõĨĩŨũʼẼẽỸỹꞋꞌ
awn	Geʽez	ሀሁሂሃሄህሆለሉሊላሌልሎሏሐሑሒሓሔሕሖሗመሙሚማሜምሞሟሠሡሢሣሤሥሦሧረሩሪራሬርሮሯሰሱሲሳሴስሶሷሸሹሺሻሼሽሾሿቀቁቂቃቄቅቆቈቊቋቌቍቐቑቒቓቔቕቖቘቚቛቜቝበቡቢባቤብቦቧቨቩቪቫቬቭቮቯተቱቲታቴትቶቷቸቹቺቻቼችቾቿኀኁኂኃኄኅኆኈኊኋኌኍነኑኒናኔንኖኗኘኙኚኛኜኝኞኟአኡኢኣኤእኦኧከኩኪካኬክኮኰኲኳኴኵኸኹኺኻኼኽኾዀዂዃዄዅወዉዊዋዌውዎዐዑዒዓዔዕዖዘዙዚዛዜዝዞዟዠዡዢዣዤዥዦዧየዩዪያዬይዮደዱዲዳዴድዶዷዸዹዺዻዼዽዾዿጀጁጂጃጄጅጆጇገጉጊጋጌግጎጐጒጓጔጕጘጙጚጛጜጝጞⶓⶔጟⶕጠጡጢጣጤጥጦጧጨጩጪጫጬጭጮጯጰጱጲጳጴጵጶጷጸጹጺጻጼጽጾጿፀፁፂፃፄፅፆፈፉፊፋፌፍፎፏፐፑፒፓፔፕፖፗ
ayb	Latin	ABCDEFGHIJKLMNOPRSTUVWXYZabcdefghijklmnoprstuvwxyzƆƉƐɔɖɛ
ayc	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄÏÑÜabcdefghijklmnopqrstuvwxyzäïñü’
ayh	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
ayl	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
ayn	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
ayp	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
ayr	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄÏÑÜabcdefghijklmnopqrstuvwxyzäïñü’
azb	Arabic	وؤئاخعنپچژکگۆۇیەݣﺏﺕﺙﺝﺡﺩﺫﺭﺯﺱﺵﺹﺽﻁﻅﻍﻑﻕﻝﻡﻥﻩﻭآجبذر
azb	Latin	ABCDEFGHIJKLMNOPQRSTUVXYZÇÖÜĞŞƏabcdefghijklmnopqrstuvxyzçöüğİışəʼ
azj	Cyrillic	АБВГДЕЖЗИКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЈҒҜҮҸҺӘӨабвгдежзиклмнопрстуфхцчшщъыьэюяјғҝүҹһәөʼ
azj	Latin	ABCDEFGHIJKLMNOPQRSTUVXYZÇÖÜĞŞƏabcdefghijklmnopqrstuvxyzçöüğİışəʼ
azo	Latin	ABCDEFGHIJKLMNOPSTUWYZabcdefghijklmnopstuwyzÁÂÉÊÍÎÓÔÚÛáâéêíîóôúûĚěŊŋƆƏƐƗǍǎǏǐǑǒǓǔɔəɛɨʼ
bak	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁҒҘҠҢҪҮҺӘӨабвгдежзийклмнопрстуфхцчшщъыьэюяёғҙҡңҫүһәө
bak	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄÇÖÜČĞĶŅŚŞŠŹabcdefghijklmnopqrstuvwxyzäçöüčğİıķņśşšź
bal	Arabic	ءآابتجدرزسشلمنهوٹپچڈژکگیۏےݔࢣ
bam	Latin	ABCDEFGHIJKLMNOPRSTUWYZŊƆƐƝabcdefghijklmnoprstuwyzŋɔɛɲ
ban	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÉabcdefghijklmnopqrstuvwxyzé
ban	Balinese	ᬳᬦᬘᬭᬓᬤᬢᬲᬯᬮᬫᬕᬩᬗᬧᬚᬬᬜᬅᬆᬇᬈᬋᬌᬍᬎᬉᬊᬏᬐᬑᬒ
bas	Latin	ABCDEFGHIJKLMNOPRSTUVWYZÀÁÂÈÉÊÌÍÎÒÓÔÙÚÛĀĒĚĪŃŊŌŪǍǏǑǓǸƁƆƐabcdefghijklmnoprstuvwyzàáâèéêìíîòóôùúûāēěīńŋōūǎǐǒǔǹɓɔɛ
bax	Bamum	ꚠꚰꛀꛐꛠꚡꚱꛁꛑꛡꚢꚲꛂꛒꛢ꛲ꚣꚳꛃꛓꛣ꛳ꚤꚴꛄꛔꛤ꛴ꚥꚵꛅꛕꛥ꛵ꚦꚶꛆꛖꛦ꛶ꚧꚷꛇꛗꛧ꛷ꚨꚸꛈꛘꛨꚩꚹꛉꛙꛩꚪꚺꛊꛚꛪꚫꚻꛋꛛꛫꚬꚼꛌꛜꛬꚭꚽꛍꛝꛭꚮꚾꛎꛞꛮꚯꚿꛏꛟꛯ
bba	Latin	ABDEƐFGIKLMNOƆPRSTUWYabdeɛfgiklmnoɔprstuwy
bbc	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
bbc	Batak	ᯀᯂᯅᯇᯉᯋᯍᯎᯐᯑᯒᯔᯖᯗᯘᯛᯝᯞᯠᯤᯥ
bbo	Latin	ABDEƐFGHIƖJKLMNƝŊOƆPRSTUƲVWYabdeɛfghiɩjklmnɲŋoɔprstuʋvwy
bci	Latin	ABCDEƐFGIJKLMNOƆPRSTUVWYZabcdeɛfgijklmnoɔprstuvwyz
bdk	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭӀӘабвгдежзийклмнопрстуфхцчшщъыьэӏә
beh	Latin	ABCDEƎFGHIKLMNOPRSTUWYÁÉÍÓÚabcdeǝfghiklmnoprstuwyáéíóú
bel	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁІЎабвгдежзийклмнопрстуфхцчшщъыьэюяёіў’
bel	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZĆČŁŃŚŠŬŹŽabcdefghijklmnopqrstuvwxyzćčłńśšŭźž
bem	Latin	ABCDEFGHIJKLMNOPSTUVWYabcdefghijklmnopstuvwy
