European Charter for Regional or Minority Languages
Source	https://www.coe.int/en/web/european-charter-regional-or-minority-languages/languages-covered
Status	24.09.2024

Language Code	Language Name	State Party	isoRegionCode	Locale Match	Notes	Level of protection under the Charter (Articles applying to the language concerned)
pol	Polish	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
pol	Polish	Hungary	HU	FALSE		Part II (Article 7)
pol	Polish	Czech Republic	CZ			Part II (Article 7) and Part III (Articles 8-14)
pol	Polish	Romania	RO			Part II (Article 7)
pol	Polish	Slovakia	SK			Part II (Article 7) and Part III (Articles 8-14)
pol	Polish	Ukraine	UA			Part II (Article 7) and Part III (Articles 8-14)
por	Portuguese	Spain (in the Autonomous Community of Extremadura)	ES			Part II (Article 7)
roh	Romansh	Switzerland	CH			Part II (Article 7) and Part III (Articles 8-14)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Austria	AT		macro	Part II (Article 7)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Bosnia and Herzegovina	BA			Part II (Article 7) and Part III (Articles 8-14)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Czech Republic	CZ			Part II (Article 7)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Finland	FI			Part II (Article 7.5)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Germany	DE			Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Hungary	HU			Part II (Article 7) and Part III (Articles 8-14)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Montenegro	ME			Part II (Article 7) and Part III (Articles 8-14)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Netherlands	NL			Part II (Article 7.5)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Norway	NO			Part II (Article 7)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Poland	PL			Part II (Article 7) and Part III (Articles 8-14)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Romania	RO			Part II (Article 7)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Serbia	RS			Part II (Article 7) and Part III (Articles 8-14)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Slovakia	SK			Part II (Article 7) and Part III (Articles 8-14)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Slovenia	SI			Part II (Article 7.5)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Sweden	SE			Part II (Article 7.5)
rom	Romani (Romany, Romanes, Romani Chib, Roma language)	Ukraine	UA			Part II (Article 7)
ron	Romanian	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
ron	Romanian	Croatia	HR	FALSE		Part II (Article 7)
ron	Romanian	Hungary	HU			Part II (Article 7) and Part III (Articles 8-14)
ron	Romanian	Serbia	RS			Part II (Article 7) and Part III (Articles 8-14)
ron	Romanian	Ukraine	UA			Part II (Article 7) and Part III (Articles 8-14)
rsk	Ruthenian	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
rsk	Ruthenian	Hungary	HU	FALSE		Part II (Article 7)
rsk	Ruthenian	Romania	RO	FALSE		Part II (Article 7)
rsk	Ruthenian	Ukraine	UA	FALSE		Part II (Article 7)
rsk	Ruthenian	Croatia	HR			Part II (Article 7) and Part III (Articles 8-14)
rsk	Ruthenian	Serbia	RS			Part II (Article 7) and Part III (Articles 8-14)
rsk	Ruthenian	Slovakia	SK			Part II (Article 7) and Part III (Articles 8-14)
rue/lemk1239	Lemko	Poland	PL			Part II (Article 7) and Part III (Articles 8-14)
ruo	Istro-Romanian	Croatia	HR			Part II (Article 7)
rup	Vlach	Serbia	RS			Part II (Article 7)
rus	Russian	Slovakia	SK	FALSE		Part II (Article 7)
rus	Russian	Armenia	AM			Part II (Article 7) and Part III (Articles 8-14)
rus	Russian	Finland	FI			Part II (Article 7.5)
rus	Russian	Poland	PL			Part II (Article 7) and Part III (Articles 8-14)
rus	Russian	Romania	RO			Part II (Article 7) and Part III (Articles 8-14)
rus	Russian	Ukraine	UA			Part II (Article 7) and Part III (Articles 8-14)
sco	Scots	United Kingdom	GB			Part II (Article 7)
sco/ulst1239	Ulster Scots	United Kingdom	GB			Part II (Article 7)
slk	Slovakian	Austria	AT	FALSE		Part II (Article 7)
slk	Slovakian	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Croatia	HR	FALSE		Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Czech Republic	CZ			Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Hungary	HU			Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Poland	PL			Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Romania	RO			Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Serbia	RS			Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Ukraine	UA			Part II (Article 7) and Part III (Articles 8-14)
slv	Slovenian	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
slv	Slovenian	Croatia	HR	FALSE		Part II (Article 7)
slv	Slovenian	Austria	AT			Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
slv	Slovenian	Hungary	HU			Part II (Article 7) and Part III (Articles 8-14)
sma	South Sami	Norway	NO	FALSE		Part II (Article 7) and Part III (Articles 8-14)
sma	South Sami	Sweden	SE			Part II (Article 7)
sme	North Sami	Finland	FI			Part II (Article 7) and Part III (Articles 8-14)
sme	North Sami	Norway	NO			Part II (Article 7) and Part III (Articles 8-14)
sme	North Sami	Sweden	SE			Part II (Article 7) and Part III (Articles 8-14)
smj	Lule Sami	Norway	NO	FALSE		Part II (Article 7) and Part III (Articles 8-14)
smj	Lule Sami	Sweden	SE			Part II (Article 7) and Part III (Articles 8-14)
smn	Inari Sami	Finland	FI			Part II (Article 7) and Part III (Articles 8-14)
sms	Skolt Sami	Finland	FI			Part II (Article 7) and Part III (Articles 8-14)
sqi	Albanian	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
sqi	Albanian	Montenegro	ME			Part II (Article 7) and Part III (Articles 8-14)
sqi	Albanian	Romania	RO			Part II (Article 7)
sqi	Albanian	Serbia	RS			Part II (Article 7) and Part III (Articles 8-14)
stq	Sater Frisian	Germany	DE			Part II (Article 7) and Part III (Articles 8-14)
swe	Swedish	Finland	FI			Part II (Article 7) and Part III (Articles 8-14)
syr	Assyrian	Armenia	AM			Part II (Article 7) and Part III (Articles 8-14)
tat	Tatar	Finland	FI	FALSE		Part II (Article 7.5)
tat	Tatar	Poland	PL			Part II (Article 7) and Part III (Articles 8-14)
tat	Tatar	Romania	RO			Part II (Article 7)
tur	Turkish	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
tur	Turkish	Romania	RO			Part II (Article 7) and Part III (Articles 8-14)
ukr	Ukranian	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
ukr	Ukranian	Croatia	HR	FALSE		Part II (Article 7) and Part III (Articles 8-14)
ukr	Ukranian	Hungary	HU	FALSE		Part II (Article 7.5)
ukr	Ukranian	Armenia	AM			Part II (Article 7)
ukr	Ukranian	Poland	PL			Part II (Article 7) and Part III (Articles 8-14)
ukr	Ukranian	Romania	RO			Part II (Article 7) and Part III (Articles 8-14)
ukr	Ukranian	Serbia	RS			Part II (Article 7) and Part III (Articles 8-14)
ukr	Ukranian	Slovakia	SK			Part II (Article 7) and Part III (Articles 8-14)
yec	Yenish	Switzerland	CH	FALSE		Part II (Article 7)
						
						*In some parts of the State, the given language is covered only by Part II while in other parts also by Part III
