# Source: https://ldml.api.sil.org/langtags.json (SIL langtags dataset, public domain)
# Docs: https://github.com/silnrsi/langtags/blob/master/doc/langtags.md
iso639_3	iso639_3extra	names
ady		Adyge;Adygei;Adygey;Adəgăbză;Cherkes;Kiakh;Kjax;Lower Circassian;Lowland Adyghe;West Circassian;Western Adyghe;Western Circassian
adz		Acira;Atsera;Atzera;Azera
ave		Avesta;Pazend;Zend
ave		Avesta;Pazend;Zend
ave		Avesta;Pazend;Zend
aea		A:rap;Araba;Ariba;Aripa;Kurtjar;Ngariba;Rib;Ribh
aeb	ajt	Derja;Tunisian;Tunisian Arabic;Tunisian Darija;Tunisian Spoken Arabic
aeb	ajt	Derja;Tunisian;Tunisian Arabic;Tunisian Darija;Tunisian Spoken Arabic
aeb		Derja;Tunisian;Tunisian Arabic;Tunisian Darija;Tunisian Spoken Arabic
aec		Saidi Arabic;Saidi Spoken Arabic;Sa’idi;Upper Egypt Arabic
aed		LSA;Lengua de Señas Argentina
aee		Northeast Pashai;Northeast Pashayi;Pashai
aek		Aeke;Baco;Haeake;’Aeke
ael		Ambala;Bata’o;Lembala
aem		A-Rem;Chombrau;Chomrau;Harème;Kri;Umo
aen		ArSL;Hayeren žesteri lezow;HŽL
aeq		
aer		Arrernte;Arunta;Eastern Aranda;Eastern Arrernte
aes		Alsea-Yaquina;Alsean;Alséya
aeu		Ake;Akheu;Aki;Akui;Gaol kheel;Gaolkheel;Gokhu;Gokhy;Gouke
aew		Aion;Porapora
aey		Amale
aez		Ajeka
afr		Africano;Boer;Sudafricano
afr		Africano;Boer;Sudafricano
afr		Africano;Boer;Sudafricano
afb		Bedawi;Emirati Arabic;Gulf Arabic;Gulf Spoken Arabic;Gulf Spoken Spoken;Omani Bedawi Arabic;Qatari
afd		Anday;Pundungum;Wangkai
afe		Ebe Cluster;Putukwam
afg		AFSL;Afghan Sign
afh		
afi		Akrukay;Wɨrkŋɨ;gwɨrkŋɨ;ŋgɨgɨ ɨrkŋɨ
afk		Aunda;Kapagmai;Nanbay
afn		Afakani;Defaka-Nkooro
afo		Afao;Afo;Afu;Aho;Eloyi;Epe
afp		Tape
afs		Afro-Seminol Criollo;Afro-Seminole;Black Seminole;Mascogos;Seminole
aft		Affitti;Dinik;Ditti;Unietti
afu		Efutu
afz		Aliki;Ati;Obogwitai
aga		Awano;Santa Crucino;Uguano
agb		Abama;Agbo;Gbo;Igbo;Igbo Imaban;Leggbo;Leggbó
agc		North Idoma
agd		Agarabe;Bare
age		Angal Heneng;East Angal;Mendi
agf		Argoeni
agg		Anggor;Senagi;Wan;Watapor
agh		Angba;Bangalema;Bangelima;Leangba
agi		Agaria;Agharia;Agoria
agj		
agj		
agk		Agta;Inagta Partido;Isarog Agta
agl		Agala;Febi;Sinale
agm		Angaatiha;Angaatiya;Angaatɨha;Angataha;Aŋaataha;Langimar
agn		Agutayano;Agutayno;Agutaynon
ago		Anka Panide;Ivori
agq		Aghə̀m;Aghɨ̂m;Wum;Yum
