Language Code	Glottocode	Display Name	Endonym	Modality	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
new	newa1246	Newari	नेवाः भाय्	Spoken & Written	Deva	Wider Communication	Institutional	Ascending	0	909,984		newa1247	Yes	
est		Estonian	eesti	Spoken & Written	Latn				0	907,518			Yes	
nnb	nand1264	Nande			Latn	Developing	Stable	Ascending	0	903,000		konz1238	Yes	
lis	lisu1250	Lisu	ꓡꓲ-ꓢꓴ		Lisu	Developing	Institutional	Ascending	0	902,700		lisu1252	Yes	
mqy	mang1405	Manggarai	bahasa Manggarai		Latn	Developing	Stable	Ascending	0	900,000		mang1436	Yes	
quy	ayac1239	Ayacucho Quechua	Chanka runasimi		Latn	Wider Communication	Institutional	Ascending	0	900,000	que	ayac1238	Possibly	But probably want to use macrolanguage
rim	nyat1246	Nyaturu			Latn	Vigorous	Stable	Ascending	0	892,000		nyat1247	Yes	
nij	ngaj1237	Ngaju			Latn	Wider Communication	Institutional	Ascending	0	890,000		sout2921	Yes	
kua	kuan1247	Kwanyama	Oshikwanyama		Latn	Wider Communication	Institutional	Ascending	0	886,628		ndon1253	Yes	
kmz	khor1269	Khorasani Turkish			Arab	Vigorous	Stable	Ascending	0	886,000		east2334	Yes	
cym	wels1247	Welsh	Cymraeg	Spoken & Written	Latn	Provincial	Institutional	Vital	0	880,109		oldm1247	Yes	
zyj	youj1238	Youjiang Zhuang			Latn	Vigorous	Stable	Emerging	0	870,000	zha	nort3189	Possibly	But probably want to use macrolanguage
sef	ceba1235	Cebaara Senoufo			Latn	Developing	Stable	Ascending	0	862,000		senu1239	Yes	
mnw	monn1252	Mon	ဘာသာမန်	Spoken & Written	Mymr	Educational	Stable	Ascending	0	861,000		moni1258	Yes	
blk	paok1235	Pa'o Karen		Spoken & Written	Mymr	Developing	Stable	Ascending	0	858,000		peri1254	Yes	
gcf	guad1242	Guadeloupean Creole French			Latn	Vigorous	Stable	Ascending	0	849,000		less1242	Yes	
thl	dang1260	Dangaura Tharu			Deva	Developing	Stable	Ascending	0	844,000		dang1277	Yes	
xon	konk1269	Konkomba			Latn	Developing	Stable	Ascending	0	831,000		konk1271	Yes	
ljp	lamp1243	Lampung Api	bahasa Lampung Api		Latn	Threatened	Endangered	Ascending	0	827,000		pesi1234	Yes	
mmr	west2430	Western Xiangxi Miao			Latn	Vigorous	Stable	Still	0	820,000	hmn	nort2748	Possibly	But probably want to use macrolanguage
swg	swab1242	Swabian	Schwäbisch		Latn	Developing	Stable	Emerging	0	815,000		nort3310	Yes	
juy	jura1242	Juray			Orya	Vigorous	Endangered	Emerging	0	801,000		sora1256	Yes	
bca	cent2004	Central Bai			Latn	Vigorous	Stable	Emerging	0	800,003		sout3254	Yes	
igl	igal1242	Igala			Latn	Educational	Stable	Ascending	0	800,000		yoru1244	Yes	
prk	para1301	Parauk			Latn	Provincial	Stable	Ascending	0	799,000		waaa1245	Yes	
taj	east2347	Eastern Tamang			Deva	Educational	Institutional	Ascending	0	782,184		nucl1729	Yes	
tdd	tain1252	Tai Nüa	ᥖᥭᥰᥖᥬᥳᥑᥨᥒᥰ		Tale	Educational	Stable	Ascending	0	782,000		nort2739	Yes	
gaa	gaaa1244	Ga	Gã		Latn	Educational	Institutional	Ascending	0	771,201		gada1257	Yes	
nia	nias1242	Nias	Li Niha	Spoken & Written	Latn	Developing	Stable	Ascending	0	770,007		nias1241	Yes	
ttj	toor1238	Tooro	Orutooro		Latn	Developing	Institutional	Ascending	0	770,000		nyor1247	Yes	
anp	angi1238	Angika	अंगिका	Spoken & Written	Deva	Developing	Stable	Ascending	0	767,083		mait1254	Yes	
mam	mamm1241	Mam			Latn	Educational	Stable	Ascending	0	766,606		mame1240	Yes	
zyg	yang1286	Yang Zhuang			Hani	Vigorous	Stable	Emerging	0	765,001	zha	deba1238	Possibly	But probably want to use macrolanguage
hni	hani1248	Hani	哈尼語		Latn	Vigorous	Stable	Ascending	0	761,701		haya1251	Yes	
prd	pars1252	Parsi-Dari	(فارسی (دری		Arab	Vigorous	Stable	Still	0	760,000		book1242	Yes	
bhi	bhil1253	Bhilali			Deva	Vigorous	Stable	Emerging	0	753,466		paur1240	Yes	
akb	bata1290	Batak Angkola			Latn	Developing	Endangered	Emerging	0	750,000	btk	angk1248	Yes	
alz	alur1250	Alur			Latn	Developing	Institutional	Ascending	0	750,000		adho1241	Yes	
led	lend1245	Lendu			Latn	Developing	Stable	Ascending	0	750,000		bale1255	Yes	
sda	tora1261	Toraja-Sa'dan	bahasa Sa'dan		Latn	Developing	Endangered	Ascending	0	750,000		tora1260	Yes	
tll	tete1250	Tetela			Latn	Vigorous	Stable	Ascending	0	750,000		tete1254	Yes	
kfq	kork1243	Korku			Deva	Developing	Stable	Emerging	0	746,285		nort3151	Yes	
kck	kala1384	Kalanga			Latn	Educational	Stable	Ascending	0	743,610		kala1405	Yes	
kbl	kane1243	Kanembu			Latn	Wider Communication	Institutional	Emerging	0	742,000	kau	kane1244	Possibly	But probably want to use macrolanguage
ebu	embu1241	Kiembu	Kĩembu		Latn	Vigorous	Stable	Ascending	0	739,000		cent2274	Yes	
yua	yuca1254	Yucatec Maya			Latn	Developing	Stable	Ascending	0	737,536		yuca1253	Yes	
pcd	pica1241	Picard	picard	Spoken & Written	Latn	Developing	Endangered	Ascending	0	736,000		cent2283	Yes	
fia	nobi1240	Nobiin			Arab	Vigorous	Endangered	Ascending	0	732,000		nobi1239	Yes	
zne	zand1248	Common Zande			Latn	Developing	Institutional	Ascending	0	730,000		zand1247	Yes	
fip	fipa1238	Fipa			Latn	Vigorous	Stable	Emerging	0	713,000		fipa1240	Yes	
blt	taid1247	Tai Dam	ꪼꪕꪒꪾ		Tavt	Developing	Stable	Ascending	0	709,000		blac1269	Yes	
aiq	aima1241	Aimaq			Arab	Vigorous	Stable	Still	0	701,000		east2745	Yes	
chv	chuv1255	Chuvash	Чӑваш	Spoken & Written	Cyrl	Educational	Endangered	Vital	0	700,222		bolg1249	Yes	
aoz	uabm1237	Uab Meto	bahasa Uab Meto		Latn	Developing	Stable	Ascending	0	700,000		nort3357	Yes	
gbr	gbag1258	Gbagyi			Latn	Developing	Endangered	Emerging	0	700,000		gbag1256	Yes	
gyn	creo1235	Guyanese Creole English			Latn	Educational	Institutional	Ascending	0	700,000		barb1267	Yes	
yaf	yaka1269	Yaka (DRC)			Latn	Vigorous	Stable	Still	0	700,000		yaka1278	Yes	
ktb	kamb1316	Kambaata			Ethi	Educational	Institutional	Ascending	0	694,322		kamb1318	Yes	
nim	nila1242	Nilamba			Latn	Vigorous	Stable	Emerging	0	682,000		nyat1247	Yes	
wln	wall1255	Walloon	walon	Spoken & Written	Latn	Threatened	Endangered	Vital	0	671,104		oila1234	Yes	
yom	yomb1244	Yombe			Latn		Stable	Emerging	0	669,000		west2874	Yes	
lic	hlai1239	Hlai			Latn	Vigorous	Stable	Emerging	0	667,000		nucl1241	Yes	
mrg	misi1242	Mising			Latn	Developing	Stable	Emerging	0	659,310		east2361	Yes	
ast	astu1245	Asturian	asturianu	Spoken & Written	Latn	Threatened	Endangered	Vital	0	656,000		astu1244	Yes	
ava	avar1256	Avaric	авар	Spoken & Written	Cyrl	Educational	Institutional	Ascending	0	654,363		avar1255	Yes	
bsq	nucl1418	Bassa			Bass	Developing	Stable	Ascending	0	654,128		bass1262	Yes	
shr	shii1238	Shi			Latn	Developing	Stable	Emerging	0	654,000		fore1272	Yes	
scl	shin1264	Shina	ݜݨیاٗ		Arab	Vigorous	Stable	Ascending	0	647,728		shin1270	Yes	
gur	fare1241	Farefare			Latn	Provincial	Stable	Ascending	0	639,310		fraf1239	Yes	
rjs	rajb1243	Rajbanshi			Deva	Developing	Stable	Ascending	0	630,685		west2382	Yes	
ses	koyr1242	Koyraboro Senni Songhai	Koyraboro senni		Latn	Educational	Stable	Ascending	0	626,616		east2431	Yes	
mjl	mand1409	Mandeali			Deva	Educational	Stable	Ascending	0	622,590		hima1250	Yes	
ati	atti1239	Attié			Latn	Developing	Stable	Emerging	0	621,000		nyoa1234	Yes	
mdj	mang1394	Mangbetu			Latn	Developing	Stable	Ascending	0	620,000		mang1424	Yes	
rag	logo1258	Lulogooli			Latn	Educational	Institutional	Ascending	0	618,300	luy	grea1291	Possibly	But probably want to use macrolanguage
vmk	makh1260	Makhuwa-Shirima			Latn	Developing	Stable	Emerging	0	618,000		maku1279	Yes	
gos	gron1242	Gronings			Latn	Developing	Stable	Ascending	0	617,444		ostf1234	Yes	
loz	lozi1239	Lozi	siLozi		Latn	Educational	Institutional	Ascending	0	611,982		seso1234	Yes	
krj	kina1250	Kinaray-A	Kinaray·a		Latn	Educational	Institutional	Ascending	0	605,481		kina1255	Yes	
irk	iraq1241	Iraqw			Latn	Developing	Stable	Ascending	0	603,000		iraq1240	Yes	
nap	neap1235	Neapolitan	nnapulitano	Spoken & Written	Latn	Developing	Stable	Ascending	0	603,000		ital1287	Yes	
tec	teri1244	Terik			Latn	Developing	Endangered	Emerging	0	601,000	kln	west3004	Possibly	But probably want to use macrolanguage
fur	friu1240	Friulian	furlan	Spoken & Written	Latn	Developing	Endangered	Vital	0	600,412		gall1280	Yes	
bhr	bara1369	Bara Malagasy			Latn	Vigorous	Stable	Still	0	600,000	mlg	bara1407	Possibly	But probably want to use macrolanguage
btx	bata1293	Batak Karo			Latn	Developing	Endangered	Ascending	0	600,000	btk	nort2831	Yes	
hwc	hawa1247	Hawai'i Pidgin			Latn	Developing	Stable	Ascending	0	600,000		paci1280	Yes	
idu	idom1241	Idoma			Latn	Developing	Stable	Ascending	0	600,000		idom1263	Yes	
onb	ling1262	Lingao				Vigorous	Stable	Emerging	0	600,000		ling1270	Yes	
ida	idak1243	Luidakho-Luisukha-Lutirichi			Latn	Developing	Stable	Still	0	598,000	luy	luyi1234	Possibly	But probably want to use macrolanguage
nqo	nkoa1234	N'Ko	‫ߒߞߏ‬	Spoken & Written	Nkoo	Wider Communication	Endangered	Ascending	0	592,771		arti1236	Yes	
bez	bena1262	Bena (Tanzania)	Hibena		Latn	Developing	Stable	Ascending	0	592,000		bena1273	Yes	
eza	ezaa1238	Ezaa			Latn	Developing	Stable	Emerging	0	590,000		izie1238	Yes	
ewo	ewon1239	Ewondo	ewondo		Latn	Wider Communication	Institutional	Ascending	0	578,000		ewon1241	Yes	
hnj	hmon1264	Mong Njua	𞄀𞄄𞄰𞄩𞄍𞄜𞄰		Laoo	Vigorous	Stable	Ascending	0	577,201	hmn	huam1250	Yes	Well established variant of the macrolanguage
unx	mund1321	Munda			Nagm	Vigorous	Stable	Emerging	0	575,099		book1242	Yes	
nus	nuer1246	Nuer	Thok Nath		Latn	Educational	Institutional	Ascending	0	572,947		nuer1245	Yes	
mgp	east2352	Eastern Magar			Deva	Threatened	Endangered	Ascending	0	572,176		maga1261	Yes	
ksb	sham1280	Shambala	Kishambaa		Latn	Vigorous	Stable	Ascending	0	565,000		bond1249	Yes	
kxp	wadi1248	Wadiyara Koli			Arab	Vigorous	Stable	Ascending	0	563,000		west2830	Yes	
rcf	reun1238	Réunion Creole French	Kréol Rénioné		Latn	Vigorous	Stable	Ascending	0	559,185		macr1273	Yes	
kea	kabu1256	Kabuverdianu	kabuverdianu		Latn	Educational	Institutional	Ascending	0	556,323		uppe1458	Yes	
mjw	karb1241	Karbi			Latn	Developing	Stable	Ascending	0	551,090		karb1240	Yes	
msh	masi1268	Masikoro Malagasy			Latn	Vigorous	Stable	Still	0	550,000	mlg	saka1299	Possibly	But probably want to use macrolanguage
akl	akla1240	Aklanon	Inakeanon		Latn	Developing	Institutional	Ascending	0	548,185		west2820	Yes	
