From https://documentation.abes.fr/guide/html/formats/CodesLanguesISO639-3.htm		
Code	Nom en français	Display Name French
ays	sorsogon ayta	Sorsogon Ayta
ayt	magbukun ayta	Magbukun Ayta
ayu	ayu	Ayu
ayz	mai brat	Mai Brat
aza	azha	Azha
azb	south azerbaijani	South Azerbaijani
azd	eastern durango nahuatl	Eastern Durango Nahuatl
aze	azéri	Azéri
azg	san pedro amuzgos amuzgo	San Pedro Amuzgos Amuzgo
azj	north azerbaijani	North Azerbaijani
azm	ipalapa amuzgo	Ipalapa Amuzgo
azn	western durango nahuatl	Western Durango Nahuatl
azo	awing	Awing
azt	faire atta	Faire Atta
azz	highland puebla nahuatl	Highland Puebla Nahuatl
baa	babatana	Babatana
bab	bainouk-gunyuńo	Bainouk-Gunyuńo
bac	badui	Badui
bad	banda, langues	Banda, Langues
bae	baré	Baré
baf	nubaca	Nubaca
bag	tuki	Tuki
bah	bahamas creole english	Bahamas Creole English
bai	bamiléké, langues	Bamiléké, Langues
baj	barakai	Barakai
bak	bachkir	Bachkir
bal	baloutchi	Baloutchi
bam	bambara	Bambara
ban	balinais	Balinais
bao	waimaha	Waimaha
bap	bantawa	Bantawa
bar	bavarian	Bavarian
bas	basa	Basa
bat	baltes, langues	Baltes, Langues
bau	bada (nigeria)	Bada (Nigeria)
bav	vengo	Vengo
baw	bambili-bambui	Bambili-Bambui
bax	bamun	Bamun
bay	batuley	Batuley
bba	baatonum	Baatonum
bbb	barai	Barai
bbc	batak toba	Batak Toba
bbd	bau	Bau
bbe	bangba	Bangba
bbf	baibai	Baibai
bbg	barama	Barama
bbh	bugan	Bugan
bbi	barombi	Barombi
bbj	ghomálá'	Ghomálá'
bbk	babanki	Babanki
bbl	bats	Bats
bbm	babango	Babango
bbn	uneapa	Uneapa
bbo	northern bobo madaré	Northern Bobo Madaré
bbp	west central banda	West Central Banda
bbq	bamali	Bamali
bbr	girawa	Girawa
bbs	bakpinka	Bakpinka
bbt	mburku	Mburku
bbu	kulung (nigeria)	Kulung (Nigeria)
bbv	karnai	Karnai
bbw	baba	Baba
bbx	bubia	Bubia
bby	befang	Befang
bca	central bai	Central Bai
bcb	bainouk-samik	Bainouk-Samik
bcc	southern balochi	Southern Balochi
bcd	north babar	North Babar
bce	bamenyam	Bamenyam
bcf	bamu	Bamu
bcg	baga pokur	Baga Pokur
bch	bariai	Bariai
bci	baoulé	Baoulé
bcj	bardi	Bardi
bck	bunuba	Bunuba
bcl	central bikol	Central Bikol
bcm	bannoni	Bannoni
bcn	bali (nigeria)	Bali (Nigeria)
bco	kaluli	Kaluli
bcp	bali (democratic republic of congo)	Bali (Democratic Republic Of Congo)
bcq	bench	Bench
bcr	babine	Babine
bcs	kohumono	Kohumono
bct	bendi	Bendi
bcu	awad bing	Awad Bing
bcv	shoo-minda-nye	Shoo-Minda-Nye
bcw	bana	Bana
bcy	bacama	Bacama
bcz	bainouk-gunyaamolo	Bainouk-Gunyaamolo
bda	bayot	Bayot
bdb	basap	Basap
bdc	emberá-baudó	Emberá-Baudó
bdd	bunama	Bunama
bde	bade	Bade
bdf	biage	Biage
bdg	bonggi	Bonggi
bdh	baka (south sudan)	Baka (South Sudan)
bdi	burun	Burun
bdj	bai (south sudan)	Bai (South Sudan)
bdk	budukh	Budukh
bdl	indonesian bajau	Indonesian Bajau
bdm	buduma	Buduma
bdn	baldemu	Baldemu
bdo	morom	Morom
bdp	bende	Bende
bdq	bahnar	Bahnar
bdr	west coast bajau	West Coast Bajau
bds	burunge	Burunge
bdt	bokoto	Bokoto
bdu	oroko	Oroko
bdv	bodo parja	Bodo Parja
bdw	baham	Baham
bdx	budong-budong	Budong-Budong
bdy	bandjalang	Bandjalang
bdz	badeshi	Badeshi
bea	beaver	Beaver
beb	bebele	Bebele
bec	iceve-maci	Iceve-Maci
bed	bedoanas	Bedoanas
bee	byangsi	Byangsi
bef	benabena	Benabena
beg	belait	Belait
beh	biali	Biali
bei	bekati'	Bekati'
bej	bedja	Bedja
bek	bebeli	Bebeli
bel	biélorusse	Biélorusse
bem	bemba	Bemba
ben	bengali	Bengali
beo	beami	Beami
bep	besoa	Besoa
beq	beembe	Beembe
ber	berbères, langues	Berbères, Langues
bes	besme	Besme
bet	guiberoua béte	Guiberoua Béte
beu	blagar	Blagar
bev	daloa bété	Daloa Bété
bew	betawi	Betawi
bex	jur modo	Jur Modo
bey	beli (papua new guinea)	Beli (Papua New Guinea)
bez	bena (tanzania)	Bena (Tanzania)
bfa	bari	Bari
bfb	pauri bareli	Pauri Bareli
bfc	panyi bai	Panyi Bai
bfd	bafut	Bafut
bfe	betaf	Betaf
bff	bofi	Bofi
bfg	busang kayan	Busang Kayan
bfh	blafe	Blafe
